,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,1e-05,-2.6e-05,-4.2e-05,-2.4e-05,-4.7e-05,2.6e-05,-4.2e-05
5,1.943832,3.96297,16.297378,-6.03543,-4.728516,-7.911562,-67.165337
6,-4.15987,4.725933,20.112192,-12.902095,1.375186,-23.170817,-37.409791
7,-11.026535,-2.140732,17.060341,-15.953946,-1.676665,-29.274519,-3.076467
8,-9.500609,4.725933,18.586266,-18.242834,-7.017404,-30.800445,22.101303
9,-4.922833,6.251859,15.534415,-14.42802,1.375186,-19.356003,37.360558
10,-6.448758,-0.614806,17.823303,-8.324318,5.952963,-7.911562,38.886483
11,0.417906,-2.903694,11.719601,-5.272467,2.138149,5.058804,34.308707
12,3.469757,-1.377769,10.956639,3.883085,2.901112,18.029171,25.916117
13,4.995683,-2.140732,0.27516,5.409011,0.612224,21.843984,11.419825
14,4.23272,-3.666657,-4.302616,6.934936,-8.543329,20.318059,-12.23202
15,6.521608,0.911119,-10.406318,5.409011,-6.254441,9.636581,-38.172753
16,6.521608,13.118523,-7.354467,7.697899,-3.965553,-1.807861,-53.432008
17,2.706794,10.829635,-7.354467,5.409011,-5.491478,-16.304153,-47.328306
18,-6.448758,7.777784,-3.539653,6.171974,-0.150739,-22.407854,-22.150536
19,-10.263572,3.96297,-4.302616,3.120123,5.19,-23.170817,1.501309
20,-14.078386,-12.82221,-10.406318,1.594197,5.19,-17.067115,10.656862
21,-11.789498,-6.718508,-16.51002,3.883085,6.715926,-7.1486,25.153154
22,-3.396907,-2.903694,-18.035945,1.594197,3.664075,4.295841,44.227222
23,-3.396907,-2.140732,-23.376684,2.35716,0.612224,13.451394,53.382775
24,1.943832,11.592598,-17.272983,2.35716,0.612224,19.555096,38.886483
25,1.180869,6.251859,-18.035945,0.068272,-7.017404,21.843984,9.130936
26,-3.396907,-2.140732,-16.51002,-3.746542,-8.543329,12.688431,-27.491275
27,-0.345056,12.35556,-14.221132,-5.272467,-2.439627,1.24399,-44.276455
28,-4.15987,2.437045,-10.406318,-8.324318,3.664075,-14.778227,-38.935716
29,-12.55246,-10.533322,-13.458169,-6.03543,12.819627,-24.696743,-27.491275
30,-9.500609,-0.614806,-3.539653,-6.03543,11.293702,-30.800445,-15.283871
31,-7.974684,-2.140732,-0.487802,-3.746542,3.664075,-26.985631,6.079085
32,-11.026535,-22.740725,-0.487802,-0.694691,1.375186,-14.778227,24.390191
33,-0.345056,-7.481471,0.27516,5.409011,-4.728516,-1.807861,19.049452
34,13.388273,13.118523,3.327011,9.223825,-0.150739,13.451394,8.367974
35,7.284571,-9.007396,0.27516,14.564564,-5.491478,27.184723,12.94575
36,5.758645,-9.770359,0.27516,13.038638,-4.728516,33.288425,9.893899
37,14.151236,24.562964,12.482564,11.512713,0.612224,38.629165,-3.076467
38,6.521608,4.725933,9.430713,3.120123,-6.254441,30.999537,-12.23202
39,-5.685796,-25.792576,7.904788,-0.694691,-2.439627,20.318059,-12.994983
40,-4.15987,8.540747,9.430713,-4.509505,0.612224,6.58473,-7.654244
41,-4.15987,10.066672,7.904788,-9.087281,-0.913702,-9.437488,5.316123
42,-20.94505,-18.162949,1.038123,-12.902095,-6.254441,-21.644892,14.471676
43,-19.419125,-0.614806,4.089974,-12.139132,0.612224,-22.407854,6.079085
44,-9.500609,21.511113,10.193676,-10.613207,-3.965553,-20.118966,-9.180169
45,-13.315423,-2.140732,5.6159,-7.561356,2.901112,-8.674525,-8.417207
46,-17.130237,-13.585173,0.27516,0.831235,11.293702,5.821767,-3.076467
47,-2.633945,11.592598,-2.013728,5.409011,8.241851,15.740282,-4.602393
48,-0.345056,6.251859,-7.354467,6.934936,0.612224,24.132873,-1.550542
49,-8.737647,-27.318502,-7.354467,3.120123,-6.254441,27.184723,5.316123
50,-1.108019,-8.244433,-7.354467,3.883085,-3.20259,22.606947,4.55316
51,15.677161,18.459262,0.27516,3.883085,-1.676665,10.399543,-9.180169
52,8.047534,3.200008,-8.11743,0.068272,-1.676665,-0.281935,-16.046834
53,4.995683,-10.533322,-5.828542,0.831235,1.375186,-7.1486,-9.180169
54,11.862347,8.540747,-5.828542,0.068272,-0.913702,-7.911562,2.264272
55,13.388273,10.066672,-2.013728,-2.983579,-3.20259,-5.622674,6.079085
56,3.469757,-12.059247,-9.643355,-1.457654,3.664075,0.481028,2.264272
57,1.943832,-10.533322,-8.880392,-1.457654,4.427037,4.295841,2.264272
58,9.573459,17.6963,-4.302616,2.35716,3.664075,9.636581,10.656862
