,FSx,FSy,FSz,NSx,NSy,NSz,Structy
4,-6e-06,1.3e-05,4.5e-05,-2.2e-05,3.3e-05,-3.7e-05,-3e-05
5,-12.426706,-6.764175,-37.877186,1.816442,10.623266,-23.867458,1.743926
6,-8.611892,-6.001212,-38.640149,4.868293,8.334378,-18.526718,4.795777
7,-7.84893,-9.053063,-39.403112,7.157181,2.993639,-17.000793,6.321703
8,-4.034116,-11.341951,-38.640149,10.209032,3.756602,-16.23783,1.743926
9,-0.219302,-7.527138,-36.351261,13.260883,5.282527,-15.474867,-11.22644
10,3.595512,-7.527138,-37.877186,14.023846,9.097341,-11.660054,-20.381993
11,3.595512,-10.578989,-35.588298,15.549772,8.334378,-9.371166,-20.381993
12,5.121437,-9.816026,-35.588298,14.023846,0.704751,-9.371166,-10.463478
13,7.410325,-9.816026,-34.825335,10.209032,-3.873026,-10.134128,7.084665
14,8.936251,-6.001212,-34.825335,6.394219,-7.687839,-9.371166,23.869846
15,11.988102,-2.949361,-34.062372,4.105331,-7.687839,-4.793389,30.73651
16,11.225139,-0.660473,-29.484596,1.816442,-1.584137,3.599201,26.158734
17,12.751064,-0.660473,-25.669782,1.05348,0.704751,14.280679,13.95133
18,10.462176,-2.186399,-21.854969,-1.998371,-0.821175,21.910307,-5.885701
19,10.462176,0.10249,-14.225341,-2.761334,-1.584137,23.436232,-24.95977
20,8.936251,2.391378,-7.358677,-5.050222,-3.110063,21.910307,-29.537546
21,9.699213,8.49508,0.270951,-5.050222,-3.110063,23.436232,-17.330142
22,7.410325,11.546931,9.426504,-7.339111,-3.110063,26.488083,1.743926
23,5.121437,8.49508,20.107982,-5.813185,-3.110063,34.11771,23.869846
24,-0.219302,7.732117,29.263535,-7.339111,-7.687839,35.643636,36.077249
25,-2.50819,7.732117,38.419088,-8.102073,-3.873026,35.643636,31.499473
26,-2.50819,8.49508,45.285752,-7.339111,-3.110063,29.539934,11.662442
27,-0.219302,12.309893,49.863529,-8.102073,-0.821175,20.384381,-6.648664
